,Scar1,Scar2,cellCount1,cellCount2
0,1271:48M10I17M,1461:44M31S,640,717
1,1271:48M10I17M,20:45M14D30M,640,1219
2,1271:48M10I17M,32:75M,640,726
3,1461:44M31S,20:45M14D30M,717,1219
4,1461:44M31S,32:75M,717,726
5,20:45M14D30M,32:75M,1219,726
6,11:43M7D32M,13:46M6D29M,581,623
7,13:46M6D29M,32:75M,623,726
8,13:46M6D29M,20:45M14D30M,623,1219
9,32:75M,6:47M3I25M,726,556
10,35:43M21D32M,6:47M3I25M,439,556
11,204:51M4I20M,762:31S44M,353,533
12,11:43M7D32M,762:31S44M,581,533
13,204:51M4I20M,6:47M3I25M,353,556
14,6:47M3I25M,762:31S44M,556,533
15,13:46M6D29M,392:75M,623,293
16,11:43M7D32M,392:75M,581,293
17,1584:36S39M,35:43M21D32M,706,439
18,1271:48M10I17M,1584:36S39M,640,706
19,1584:36S39M,32:75M,706,726
20,1097:52M23S,1271:48M10I17M,535,640
21,1097:52M23S,1461:44M31S,535,717
22,11:43M7D32M,1584:36S39M,581,706
23,1584:36S39M,68:37M12D38M,706,260
24,1271:48M10I17M,35:43M21D32M,640,439
25,1461:44M31S,35:43M21D32M,717,439
26,1584:36S39M,608:44M2I3M2D26M,706,287
27,1584:36S39M,20:45M14D30M,706,1219
28,11:43M7D32M,1461:44M31S,581,717
29,1461:44M31S,68:37M12D38M,717,260
30,32:75M,39:29M17D46M,726,291
31,32:75M,35:43M21D32M,726,439
32,1461:44M31S,1584:36S39M,717,706
33,11:43M7D32M,1271:48M10I17M,581,640
34,1097:52M23S,1584:36S39M,535,706
35,11:43M7D32M,35:43M21D32M,581,439
36,1097:52M23S,32:75M,535,726
37,1271:48M10I17M,39:29M17D46M,640,291
38,39:29M17D46M,66:48M6I21M,291,749
39,11:43M7D32M,6:47M3I25M,581,556
40,1097:52M23S,35:43M21D32M,535,439
41,11:43M7D32M,32:75M,581,726
42,1584:36S39M,39:29M17D46M,706,291
43,32:75M,68:37M12D38M,726,260
44,11:43M7D32M,20:45M14D30M,581,1219
45,20:45M14D30M,35:43M21D32M,1219,439
46,20:45M14D30M,762:31S44M,1219,533
47,1097:52M23S,20:45M14D30M,535,1219
48,1434:45M6I24M,20:45M14D30M,224,1219
49,20:45M14D30M,683:45M4I26M,1219,235
50,1097:52M23S,13:46M6D29M,535,623
51,32:75M,608:44M2I3M2D26M,726,287
52,20:45M14D30M,66:48M6I21M,1219,749
53,1584:36S39M,45:41M5D34M,706,343
54,1097:52M23S,66:48M6I21M,535,749
55,13:46M6D29M,66:48M6I21M,623,749
56,20:45M14D30M,887:45M1I29M,1219,173
57,1097:52M23S,45:41M5D34M,535,343
58,20:45M14D30M,608:44M2I3M2D26M,1219,287
59,1584:36S39M,66:48M6I21M,706,749
60,13:46M6D29M,1584:36S39M,623,706
61,13:46M6D29M,608:44M2I3M2D26M,623,287
62,13:46M6D29M,45:41M5D34M,623,343
63,1271:48M10I17M,13:46M6D29M,640,623
64,608:44M2I3M2D26M,66:48M6I21M,287,749
65,13:46M6D29M,6:47M3I25M,623,556
66,18:47M9D28M,20:45M14D30M,148,1219
67,1097:52M23S,6:47M3I25M,535,556
68,20:45M14D30M,6:47M3I25M,1219,556
69,66:48M6I21M,6:47M3I25M,749,556
70,20:45M14D30M,45:41M5D34M,1219,343
71,45:41M5D34M,66:48M6I21M,343,749
72,1271:48M10I17M,45:41M5D34M,640,343
73,1461:44M31S,45:41M5D34M,717,343
74,20:45M14D30M,29:46M1I28M,1219,144
75,1461:44M31S,608:44M2I3M2D26M,717,287
76,32:75M,66:48M6I21M,726,749
77,20:45M14D30M,357:49M4I22M,1219,216
78,20:45M14D30M,39:29M17D46M,1219,291
79,13:46M6D29M,1461:44M31S,623,717
80,187:51M4I20M,20:45M14D30M,204,1219
81,19:75M,20:45M14D30M,235,1219
82,19:75M,32:75M,235,726
83,20:45M14D30M,722:47M3D17M11S,1219,139
84,1461:44M31S,66:48M6I21M,717,749
85,19:75M,66:48M6I21M,235,749
86,13:46M6D29M,39:29M17D46M,623,291
87,0,1271:48M10I17M,10000,640
88,0,1461:44M31S,10000,717
89,0,20:45M14D30M,10000,1219
90,0,11:43M7D32M,10000,581
91,0,13:46M6D29M,10000,623
92,0,32:75M,10000,726
93,0,35:43M21D32M,10000,439
94,0,204:51M4I20M,10000,353
95,0,6:47M3I25M,10000,556
96,0,1584:36S39M,10000,706
97,0,1097:52M23S,10000,535
98,0,39:29M17D46M,10000,291
99,0,1434:45M6I24M,10000,224
100,0,608:44M2I3M2D26M,10000,287
101,0,18:47M9D28M,10000,148
102,0,66:48M6I21M,10000,749
103,0,45:41M5D34M,10000,343
104,0,187:51M4I20M,10000,204
105,0,19:75M,10000,235
106,0,762:31S44M,10000,533
107,0,392:75M,10000,293
108,0,68:37M12D38M,10000,260
109,0,683:45M4I26M,10000,235
110,0,887:45M1I29M,10000,173
111,0,29:46M1I28M,10000,144
112,0,357:49M4I22M,10000,216
113,0,722:47M3D17M11S,10000,139
