,Scar1,Scar2,cellCount1,cellCount2
0,1033:51M1I23M,13:46M6D29M,105,171
1,1033:51M1I23M,1202:49M26S,105,82
2,1202:49M26S,13:46M6D29M,82,171
3,361:50M7I18M,779:34S41M,96,78
4,13:46M6D29M,624:43M1I4M3D27M,171,59
5,1033:51M1I23M,624:43M1I4M3D27M,105,59
6,28:44M9D31M,361:50M7I18M,99,96
7,28:44M9D31M,779:34S41M,99,78
8,1202:49M26S,624:43M1I4M3D27M,82,59
9,6:47M3I25M,779:34S41M,40,78
10,361:50M7I18M,6:47M3I25M,96,40
11,1466:44M31S,44:44M3D31M,53,86
12,1041:51M24S,26:49M26S,42,39
13,28:44M9D31M,6:47M3I25M,99,40
14,1041:51M24S,28:44M9D31M,42,99
15,11:43M7D32M,13:46M6D29M,33,171
16,26:49M26S,28:44M9D31M,39,99
17,13:46M6D29M,370:46M6I23M,171,45
18,1033:51M1I23M,370:46M6I23M,105,45
19,32:75M,664:40M1I1M9D33M,157,40
20,35:43M21D32M,737:50M8D25M,36,21
21,370:46M6I23M,624:43M1I4M3D27M,45,59
22,1033:51M1I23M,28:44M9D31M,105,99
23,1202:49M26S,370:46M6I23M,82,45
24,13:46M6D29M,28:44M9D31M,171,99
25,1092:53M22S,11:43M7D32M,22,33
26,1092:53M22S,13:46M6D29M,22,171
27,1202:49M26S,28:44M9D31M,82,99
28,35:43M21D32M,62:75M,36,14
29,262:45M2I28M,361:50M7I18M,17,96
30,14:44M3D31M,664:40M1I1M9D33M,16,40
31,219:48M27S,557:45M5D30M,19,57
32,1284:48M6I21M,44:44M3D31M,19,86
33,13:46M6D29M,34:51M3I21M,171,13
34,194:48M3I24M,361:50M7I18M,13,96
35,1466:44M31S,97:49M9D26M,53,14
36,44:44M3D31M,97:49M9D26M,86,14
37,11:43M7D32M,34:51M3I21M,33,13
38,62:75M,737:50M8D25M,14,21
39,28:44M9D31M,624:43M1I4M3D27M,99,59
40,1039:51M24S,23:30M20D45M,38,31
41,1039:51M24S,104:27M22D48M,38,26
42,262:45M2I28M,757:30S45M,17,11
43,104:27M22D48M,432:39M2D5M1I30M,26,12
44,194:48M3I24M,262:45M2I28M,13,17
45,361:50M7I18M,757:30S45M,96,11
46,13:46M6D29M,557:45M5D30M,171,57
47,337:46M8D29M,46:46M2D29M,22,23
48,194:48M3I24M,757:30S45M,13,11
49,1092:53M22S,34:51M3I21M,22,13
50,262:45M2I28M,863:44M31S,17,9
51,1039:51M24S,370:46M6I23M,38,45
