,Scar1,Scar2,cellCount1,cellCount2
0,1033:51M1I23M,13:46M6D29M,106,187
1,1337:45M1I12M17S,20:45M14D30M,89,458
2,1033:51M1I23M,1202:49M26S,106,82
3,1202:49M26S,13:46M6D29M,82,187
4,361:50M7I18M,779:34S41M,103,78
5,13:46M6D29M,624:43M1I4M3D27M,187,60
6,1033:51M1I23M,624:43M1I4M3D27M,106,60
7,28:44M9D31M,361:50M7I18M,143,103
8,28:44M9D31M,779:34S41M,143,78
9,1202:49M26S,624:43M1I4M3D27M,82,60
10,6:47M3I25M,779:34S41M,41,78
11,35:43M21D32M,737:50M8D25M,228,55
12,361:50M7I18M,6:47M3I25M,103,41
13,1466:44M31S,44:44M3D31M,53,102
14,1041:51M24S,26:49M26S,42,39
15,32:75M,664:40M1I1M9D33M,199,57
16,1041:51M24S,28:44M9D31M,42,143
17,28:44M9D31M,6:47M3I25M,143,41
18,11:43M7D32M,13:46M6D29M,61,187
19,12:42M6D33M,80:49M11D26M,118,28
20,26:49M26S,28:44M9D31M,39,143
21,11:43M7D32M,20:45M14D30M,61,458
22,13:46M6D29M,370:46M6I23M,187,51
23,1033:51M1I23M,370:46M6I23M,106,51
24,13:46M6D29M,28:44M9D31M,187,143
25,1202:49M26S,370:46M6I23M,82,51
26,370:46M6I23M,624:43M1I4M3D27M,51,60
27,1033:51M1I23M,28:44M9D31M,106,143
28,1092:53M22S,11:43M7D32M,22,61
29,219:48M27S,557:45M5D30M,28,80
30,1092:53M22S,13:46M6D29M,22,187
31,1202:49M26S,28:44M9D31M,82,143
32,1432:48M5I22M,28:44M9D31M,18,143
33,20:45M14D30M,748:40S35M,458,19
34,14:44M3D31M,664:40M1I1M9D33M,19,57
35,262:45M2I28M,361:50M7I18M,17,103
36,1039:51M24S,23:30M20D45M,52,50
37,194:48M3I24M,361:50M7I18M,15,103
38,35:43M21D32M,62:75M,228,14
39,1284:48M6I21M,44:44M3D31M,19,102
40,44:44M3D31M,97:49M9D26M,102,14
41,13:46M6D29M,34:51M3I21M,187,13
42,1466:44M31S,97:49M9D26M,53,14
43,13:46M6D29M,557:45M5D30M,187,80
44,62:75M,737:50M8D25M,14,55
45,1220:49M26S,32:75M,14,199
46,11:43M7D32M,34:51M3I21M,61,13
47,1039:51M24S,104:27M22D48M,52,26
48,28:44M9D31M,624:43M1I4M3D27M,143,60
49,262:45M2I28M,757:30S45M,17,12
50,104:27M22D48M,432:39M2D5M1I30M,26,12
51,194:48M3I24M,262:45M2I28M,15,17
52,361:50M7I18M,757:30S45M,103,12
53,337:46M8D29M,46:46M2D29M,22,24
54,194:48M3I24M,757:30S45M,15,12
55,1039:51M24S,370:46M6I23M,52,51
56,262:45M2I28M,863:44M31S,17,9
57,1039:51M24S,176:22S37M3D16M,52,22
58,1092:53M22S,34:51M3I21M,22,13
59,23:30M20D45M,32:75M,50,199
60,361:50M7I18M,863:44M31S,103,9
61,20:45M14D30M,46:46M2D29M,458,24
62,194:48M3I24M,863:44M31S,15,9
63,23:30M20D45M,370:46M6I23M,50,51
64,370:46M6I23M,664:40M1I1M9D33M,51,57
65,28:44M9D31M,370:46M6I23M,143,51
66,14:44M3D31M,370:46M6I23M,19,51
67,23:30M20D45M,664:40M1I1M9D33M,50,57
68,757:30S45M,863:44M31S,12,9
69,1257:49M26S,13:46M6D29M,6,187
70,104:27M22D48M,370:46M6I23M,26,51
71,1033:51M1I23M,361:50M7I18M,106,103
72,139:43M4D32M,13:46M6D29M,7,187
73,1209:49M26S,35:43M21D32M,9,228
74,1380:46M29S,361:50M7I18M,6,103
75,1039:51M24S,432:39M2D5M1I30M,52,12
76,370:46M6I23M,432:39M2D5M1I30M,51,12
77,28:44M9D31M,558:44M3D3M6I22M,143,4
78,1065:52M7I16M,11:43M7D32M,6,61
79,11:43M7D32M,65:45M5D30M,61,6
80,1092:53M22S,65:45M5D30M,22,6
81,13:46M6D29M,219:48M27S,187,28
82,1065:52M7I16M,13:46M6D29M,6,187
83,13:46M6D29M,65:45M5D30M,187,6
84,35:43M21D32M,67:48M1I26M,228,12
85,1041:51M24S,779:34S41M,42,78
86,103:29S46M,13:46M6D29M,5,187
87,1065:52M7I16M,1092:53M22S,6,22
88,11:43M7D32M,67:48M1I26M,61,12
89,1041:51M24S,6:47M3I25M,42,41
90,104:27M22D48M,23:30M20D45M,26,50
91,26:49M26S,44:44M3D31M,39,102
92,14:44M3D31M,23:30M20D45M,19,50
93,1607:23S52M,69:48M2I25M,13,5
94,1033:51M1I23M,61:46M29S,106,4
95,13:46M6D29M,61:46M29S,187,4
96,139:43M4D32M,47:47M2D28M,7,7
97,176:22S37M3D16M,370:46M6I23M,22,51
98,12:42M6D33M,178:47M1I27M,118,13
99,1299:49M26S,44:44M3D31M,24,102
100,34:51M3I21M,65:45M5D30M,13,6
101,1039:51M24S,664:40M1I1M9D33M,52,57
102,102:31M22D44M,44:44M3D31M,18,102
103,176:22S37M3D16M,23:30M20D45M,22,50
104,13:46M6D29M,47:47M2D28M,187,7
105,1115:50M25S,46:46M2D29M,5,24
106,1220:49M26S,23:30M20D45M,14,50
107,1404:46M13I16M,89:75M,3,8
108,1432:48M5I22M,558:44M3D3M6I22M,18,4
109,1466:44M31S,178:47M1I27M,53,13
110,1607:23S52M,361:50M7I18M,13,103
111,1586:31S44M,28:44M9D31M,8,143
112,178:47M1I27M,36:45M7D30M,13,2
113,1233:49M9I17M,1586:31S44M,3,8
114,1284:48M6I21M,1466:44M31S,19,53
115,22:49M2D26M,337:46M8D29M,11,22
116,20:45M14D30M,43:48M1D27M,458,2
117,1380:46M29S,28:44M9D31M,6,143
118,194:48M3I24M,737:50M8D25M,15,55
119,1220:49M26S,664:40M1I1M9D33M,14,57
120,178:47M1I27M,97:49M9D26M,13,14
121,178:47M1I27M,80:49M11D26M,13,28
122,178:47M1I27M,44:44M3D31M,13,102
123,23:30M20D45M,432:39M2D5M1I30M,50,12
