,Scar1,Scar2,cellCount1,cellCount2
0,13:46M6D29M,32:75M,187,199
1,1033:51M1I23M,20:45M14D30M,106,458
2,1202:49M26S,20:45M14D30M,82,458
3,13:46M6D29M,20:45M14D30M,187,458
4,28:44M9D31M,35:43M21D32M,143,228
5,1337:45M1I12M17S,20:45M14D30M,89,458
6,20:45M14D30M,35:43M21D32M,458,228
7,20:45M14D30M,557:45M5D30M,458,80
8,12:42M6D33M,20:45M14D30M,118,458
9,0,13:46M6D29M,10000,187
10,0,1033:51M1I23M,10000,106
11,0,1202:49M26S,10000,82
12,0,28:44M9D31M,10000,143
13,0,1337:45M1I12M17S,10000,89
14,0,20:45M14D30M,10000,458
15,0,12:42M6D33M,10000,118
16,0,32:75M,10000,199
17,0,35:43M21D32M,10000,228
18,0,557:45M5D30M,10000,80
