,Scar1,Scar2,cellCount1,cellCount2
0,337:46M8D29M,46:46M2D29M,22,23
1,28:44M9D31M,361:50M7I18M,99,96
2,28:44M9D31M,6:47M3I25M,99,40
3,28:44M9D31M,779:34S41M,99,78
4,361:50M7I18M,6:47M3I25M,96,40
5,361:50M7I18M,779:34S41M,96,78
6,6:47M3I25M,779:34S41M,40,78
7,22:49M2D26M,337:46M8D29M,11,22
8,11:43M7D32M,13:46M6D29M,33,171
9,104:27M22D48M,432:39M2D5M1I30M,26,12
10,1039:51M24S,23:30M20D45M,38,31
11,1039:51M24S,13:46M6D29M,38,171
12,1466:44M31S,44:44M3D31M,53,86
13,1033:51M1I23M,32:75M,105,157
14,1033:51M1I23M,370:46M6I23M,105,45
15,1033:51M1I23M,624:43M1I4M3D27M,105,59
16,32:75M,370:46M6I23M,157,45
17,32:75M,624:43M1I4M3D27M,157,59
18,370:46M6I23M,624:43M1I4M3D27M,45,59
19,1039:51M24S,104:27M22D48M,38,26
20,1039:51M24S,1910:47M6D28M,38,1
21,1039:51M24S,432:39M2D5M1I30M,38,12
22,104:27M22D48M,1910:47M6D28M,26,1
23,104:27M22D48M,23:30M20D45M,26,31
24,1910:47M6D28M,23:30M20D45M,1,31
25,1910:47M6D28M,432:39M2D5M1I30M,1,12
26,23:30M20D45M,432:39M2D5M1I30M,31,12
27,1033:51M1I23M,1202:49M26S,105,82
28,1033:51M1I23M,13:46M6D29M,105,171
29,1033:51M1I23M,28:44M9D31M,105,99
30,1202:49M26S,13:46M6D29M,82,171
31,1202:49M26S,28:44M9D31M,82,99
32,1202:49M26S,370:46M6I23M,82,45
33,1202:49M26S,624:43M1I4M3D27M,82,59
34,13:46M6D29M,28:44M9D31M,171,99
35,13:46M6D29M,370:46M6I23M,171,45
36,13:46M6D29M,624:43M1I4M3D27M,171,59
37,28:44M9D31M,370:46M6I23M,99,45
38,28:44M9D31M,624:43M1I4M3D27M,99,59
39,32:75M,664:40M1I1M9D33M,157,40
40,32:75M,901:46M29S,157,1
41,664:40M1I1M9D33M,901:46M29S,40,1
42,244:75M,337:46M8D29M,1,22
