,Scar1,Scar2,cellCount1,cellCount2
0,204:51M4I20M,6:47M3I25M,141,193
1,637:49M13D26M,6:47M3I25M,3,193
2,578:45M4D2M2D28M,6:47M3I25M,3,193
3,1215:49M26S,498:48M2I25M,4,26
4,1516:45M7D30M,762:31S44M,5,233
5,1516:45M7D30M,1803:47M3D28M,5,1
6,2142:48M3I24M,498:48M2I25M,1,26
7,23:30M20D45M,51:44M8D31M,1,1
8,0,204:51M4I20M,10000,141
9,0,637:49M13D26M,10000,3
10,0,578:45M4D2M2D28M,10000,3
11,0,1215:49M26S,10000,4
12,0,1516:45M7D30M,10000,5
13,0,2142:48M3I24M,10000,1
14,0,23:30M20D45M,10000,1
15,0,6:47M3I25M,10000,193
16,0,498:48M2I25M,10000,26
17,0,762:31S44M,10000,233
18,0,1803:47M3D28M,10000,1
19,0,51:44M8D31M,10000,1
