,Scar1,Scar2,cellCount1,cellCount2
0,11:43M7D32M,68:37M12D38M,499,260
1,1584:36S39M,35:43M21D32M,393,176
2,1271:48M10I17M,1461:44M31S,281,342
3,11:43M7D32M,619:50M21D25M,499,163
4,1271:48M10I17M,1584:36S39M,281,393
5,1584:36S39M,37:47M6I22M,393,217
6,1584:36S39M,32:75M,393,259
7,11:43M7D32M,1205:49M6I20M,499,159
8,11:43M7D32M,1584:36S39M,499,393
9,1584:36S39M,619:50M21D25M,393,163
10,1584:36S39M,68:37M12D38M,393,260
11,1271:48M10I17M,35:43M21D32M,281,176
12,1461:44M31S,35:43M21D32M,342,176
13,11:43M7D32M,187:51M4I20M,499,89
14,11:43M7D32M,156:47M2I26M,499,141
15,35:43M21D32M,68:37M12D38M,176,260
16,1461:44M31S,37:47M6I22M,342,217
17,11:43M7D32M,37:47M6I22M,499,217
18,37:47M6I22M,68:37M12D38M,217,260
19,11:43M7D32M,1461:44M31S,499,342
20,1461:44M31S,619:50M21D25M,342,163
21,1461:44M31S,68:37M12D38M,342,260
22,156:47M2I26M,1584:36S39M,141,393
23,32:75M,35:43M21D32M,259,176
24,1461:44M31S,32:75M,342,259
25,1271:48M10I17M,32:75M,281,259
26,1461:44M31S,1584:36S39M,342,393
27,11:43M7D32M,1271:48M10I17M,499,281
28,11:43M7D32M,35:43M21D32M,499,176
29,1205:49M6I20M,1271:48M10I17M,159,281
30,1205:49M6I20M,1584:36S39M,159,393
31,1271:48M10I17M,68:37M12D38M,281,260
32,11:43M7D32M,32:75M,499,259
33,1271:48M10I17M,37:47M6I22M,281,217
34,32:75M,68:37M12D38M,259,260
35,32:75M,37:47M6I22M,259,217
36,0,11:43M7D32M,10000,499
37,0,1584:36S39M,10000,393
38,0,1271:48M10I17M,10000,281
39,0,1461:44M31S,10000,342
40,0,35:43M21D32M,10000,176
41,0,37:47M6I22M,10000,217
42,0,156:47M2I26M,10000,141
43,0,32:75M,10000,259
44,0,1205:49M6I20M,10000,159
45,0,68:37M12D38M,10000,260
46,0,619:50M21D25M,10000,163
47,0,187:51M4I20M,10000,89
