,Scar1,Scar2,cellCount1,cellCount2
0,13:46M6D29M,1648:75M,12,1
1,32:75M,54:47M5D28M,15,9
2,1220:49M26S,32:75M,3,15
3,2112:48M3I24M,28:44M9D31M,1,1
4,13:46M6D29M,557:45M5D30M,12,9
5,1039:51M24S,23:30M20D45M,8,12
6,32:75M,664:40M1I1M9D33M,15,5
7,13:46M6D29M,38:43M6D32M,12,1
8,1039:51M24S,93:48M1D27M,8,1
9,219:48M27S,557:45M5D30M,3,9
10,1901:47M3D28M,23:30M20D45M,1,12
11,304:47M6D28M,54:47M5D28M,1,9
12,13:46M6D29M,32:75M,12,15
13,1220:49M26S,13:46M6D29M,3,12
14,13:46M6D29M,2112:48M3I24M,12,1
15,1039:51M24S,13:46M6D29M,8,12
16,13:46M6D29M,219:48M27S,12,3
17,13:46M6D29M,1901:47M3D28M,12,1
18,13:46M6D29M,304:47M6D28M,12,1
19,13:46M6D29M,54:47M5D28M,12,9
20,13:46M6D29M,28:44M9D31M,12,1
21,13:46M6D29M,23:30M20D45M,12,12
22,13:46M6D29M,664:40M1I1M9D33M,12,5
23,13:46M6D29M,93:48M1D27M,12,1
