,Scar1,Scar2,cellCount1,cellCount2
0,1516:45M7D30M,762:31S44M,5,233
1,6:47M3I25M,762:31S44M,193,233
2,637:49M13D26M,6:47M3I25M,3,193
3,204:51M4I20M,2768:51M4I20M,141,1
4,204:51M4I20M,6:47M3I25M,141,193
5,2768:51M4I20M,6:47M3I25M,1,193
6,1921:47M3I25M,6:47M3I25M,1,193
7,1082:47M3I25M,6:47M3I25M,1,193
8,204:51M4I20M,25:46M22D29M,141,17
9,762:31S44M,84:49M14D26M,233,16
10,2813:58M17S,6:47M3I25M,1,193
11,204:51M4I20M,762:31S44M,141,233
12,1215:49M26S,498:48M2I25M,4,26
13,187:51M4I20M,204:51M4I20M,1,141
14,2142:48M3I24M,498:48M2I25M,1,26
15,673:47M3I25M,6:47M3I25M,1,193
16,762:31S44M,844:43M32S,233,33
17,23:30M20D45M,51:44M8D31M,1,1
18,578:45M4D2M2D28M,6:47M3I25M,3,193
19,1681:49M3I23M,6:47M3I25M,1,193
20,1516:45M7D30M,1803:47M3D28M,5,1
21,1803:47M3D28M,762:31S44M,1,233
22,1144:48M3I24M,204:51M4I20M,2,141
23,20:45M14D30M,762:31S44M,1,233
24,1215:49M26S,84:49M14D26M,4,16
25,498:48M2I25M,84:49M14D26M,26,16
26,204:51M4I20M,3581:27M2D18M3I27M,141,1
27,3581:27M2D18M3I27M,6:47M3I25M,1,193
28,25:46M22D29M,392:75M,17,3
29,1516:45M7D30M,6:47M3I25M,5,193
30,1215:49M26S,6:47M3I25M,4,193
31,187:51M4I20M,6:47M3I25M,1,193
32,2142:48M3I24M,6:47M3I25M,1,193
33,23:30M20D45M,6:47M3I25M,1,193
34,1803:47M3D28M,6:47M3I25M,1,193
35,1144:48M3I24M,6:47M3I25M,2,193
36,20:45M14D30M,6:47M3I25M,1,193
37,498:48M2I25M,6:47M3I25M,26,193
38,25:46M22D29M,6:47M3I25M,17,193
39,6:47M3I25M,84:49M14D26M,193,16
40,6:47M3I25M,844:43M32S,193,33
41,51:44M8D31M,6:47M3I25M,1,193
42,392:75M,6:47M3I25M,3,193
