,Scar1,Scar2,cellCount1,cellCount2
0,1097:52M23S,1434:45M6I24M,468,189
1,1097:52M23S,20:45M14D30M,468,750
2,1434:45M6I24M,20:45M14D30M,189,750
3,13:46M6D29M,887:45M1I29M,435,173
4,20:45M14D30M,683:45M4I26M,750,222
5,1097:52M23S,13:46M6D29M,468,435
6,13:46M6D29M,1434:45M6I24M,435,189
7,1097:52M23S,32:75M,468,200
8,1584:36S39M,608:44M2I3M2D26M,312,271
9,1097:52M23S,887:45M1I29M,468,173
10,20:45M14D30M,66:48M6I21M,750,743
11,1584:36S39M,45:41M5D34M,312,340
12,45:41M5D34M,608:44M2I3M2D26M,340,271
13,1097:52M23S,608:44M2I3M2D26M,468,271
14,13:46M6D29M,357:49M4I22M,435,208
15,1097:52M23S,66:48M6I21M,468,743
16,13:46M6D29M,20:45M14D30M,435,750
17,13:46M6D29M,66:48M6I21M,435,743
18,20:45M14D30M,307:42M1I4M3D28M,750,99
19,20:45M14D30M,887:45M1I29M,750,173
20,307:42M1I4M3D28M,66:48M6I21M,99,743
21,66:48M6I21M,887:45M1I29M,743,173
22,1097:52M23S,45:41M5D34M,468,340
23,1097:52M23S,357:49M4I22M,468,208
24,1097:52M23S,39:29M17D46M,468,225
25,357:49M4I22M,45:41M5D34M,208,340
26,1584:36S39M,20:45M14D30M,312,750
27,20:45M14D30M,608:44M2I3M2D26M,750,271
28,1584:36S39M,66:48M6I21M,312,743
29,39:29M17D46M,45:41M5D34M,225,340
30,1097:52M23S,1584:36S39M,468,312
31,13:46M6D29M,1584:36S39M,435,312
32,13:46M6D29M,608:44M2I3M2D26M,435,271
33,1584:36S39M,19:75M,312,229
34,13:46M6D29M,45:41M5D34M,435,340
35,1271:48M10I17M,13:46M6D29M,196,435
36,45:41M5D34M,683:45M4I26M,340,222
37,608:44M2I3M2D26M,66:48M6I21M,271,743
38,18:47M9D28M,66:48M6I21M,120,743
39,29:46M1I28M,66:48M6I21M,114,743
40,18:47M9D28M,20:45M14D30M,120,750
41,20:45M14D30M,32:75M,750,200
42,187:51M4I20M,66:48M6I21M,114,743
43,66:48M6I21M,948:48M27S,743,89
44,20:45M14D30M,45:41M5D34M,750,340
45,45:41M5D34M,66:48M6I21M,340,743
46,1434:45M6I24M,66:48M6I21M,189,743
47,1271:48M10I17M,45:41M5D34M,196,340
48,1461:44M31S,45:41M5D34M,228,340
49,1097:52M23S,683:45M4I26M,468,222
50,20:45M14D30M,29:46M1I28M,750,114
51,13:46M6D29M,19:75M,435,229
52,1461:44M31S,1584:36S39M,228,312
53,32:75M,66:48M6I21M,200,743
54,20:45M14D30M,357:49M4I22M,750,208
55,13:46M6D29M,32:75M,435,200
56,357:49M4I22M,66:48M6I21M,208,743
57,39:29M17D46M,66:48M6I21M,225,743
58,1097:52M23S,1271:48M10I17M,468,196
59,1097:52M23S,1461:44M31S,468,228
60,20:45M14D30M,39:29M17D46M,750,225
61,1271:48M10I17M,20:45M14D30M,196,750
62,13:46M6D29M,1461:44M31S,435,228
63,187:51M4I20M,20:45M14D30M,114,750
64,20:45M14D30M,948:48M27S,750,89
65,19:75M,20:45M14D30M,229,750
66,1461:44M31S,20:45M14D30M,228,750
67,20:45M14D30M,722:47M3D17M11S,750,139
68,66:48M6I21M,722:47M3D17M11S,743,139
69,1461:44M31S,66:48M6I21M,228,743
70,106:24S51M,20:45M14D30M,101,750
71,106:24S51M,66:48M6I21M,101,743
72,19:75M,66:48M6I21M,229,743
73,1584:36S39M,357:49M4I22M,312,208
74,13:46M6D29M,39:29M17D46M,435,225
75,1584:36S39M,683:45M4I26M,312,222
76,1271:48M10I17M,66:48M6I21M,196,743
77,66:48M6I21M,683:45M4I26M,743,222
