,Scar1,Scar2,cellCount1,cellCount2
0,1271:48M10I17M,1461:44M31S,640,717
1,1271:48M10I17M,20:45M14D30M,640,760
2,1271:48M10I17M,32:75M,640,527
3,1461:44M31S,20:45M14D30M,717,760
4,1461:44M31S,32:75M,717,527
5,20:45M14D30M,32:75M,760,527
6,1584:36S39M,187:51M4I20M,706,203
7,11:43M7D32M,68:37M12D38M,502,260
8,1584:36S39M,35:43M21D32M,706,211
9,1271:48M10I17M,1584:36S39M,640,706
10,1584:36S39M,37:47M6I22M,706,222
11,1584:36S39M,32:75M,706,527
12,1097:52M23S,1271:48M10I17M,535,640
13,1097:52M23S,1461:44M31S,535,717
14,11:43M7D32M,1584:36S39M,502,706
15,1584:36S39M,619:50M21D25M,706,163
16,1584:36S39M,68:37M12D38M,706,260
17,1271:48M10I17M,35:43M21D32M,640,211
18,1461:44M31S,35:43M21D32M,717,211
19,1584:36S39M,608:44M2I3M2D26M,706,287
20,1584:36S39M,20:45M14D30M,706,760
21,1584:36S39M,683:45M4I26M,706,235
22,1271:48M10I17M,187:51M4I20M,640,203
23,1461:44M31S,37:47M6I22M,717,222
24,11:43M7D32M,1461:44M31S,502,717
25,1461:44M31S,619:50M21D25M,717,163
26,1461:44M31S,68:37M12D38M,717,260
27,32:75M,39:29M17D46M,527,291
28,1461:44M31S,1584:36S39M,717,706
29,11:43M7D32M,1271:48M10I17M,502,640
30,1097:52M23S,1584:36S39M,535,706
31,1097:52M23S,32:75M,535,527
32,1097:52M23S,1434:45M6I24M,535,224
33,1271:48M10I17M,39:29M17D46M,640,291
34,39:29M17D46M,66:48M6I21M,291,749
35,1461:44M31S,683:45M4I26M,717,235
36,1461:44M31S,187:51M4I20M,717,203
37,1271:48M10I17M,68:37M12D38M,640,260
38,11:43M7D32M,32:75M,502,527
39,1271:48M10I17M,37:47M6I22M,640,222
40,11:43M7D32M,39:29M17D46M,502,291
41,1584:36S39M,39:29M17D46M,706,291
42,32:75M,68:37M12D38M,527,260
43,32:75M,37:47M6I22M,527,222
44,1271:48M10I17M,1434:45M6I24M,640,224
45,1434:45M6I24M,1461:44M31S,224,717
46,1097:52M23S,20:45M14D30M,535,760
47,1434:45M6I24M,20:45M14D30M,224,760
48,20:45M14D30M,683:45M4I26M,760,235
49,1097:52M23S,13:46M6D29M,535,435
50,32:75M,608:44M2I3M2D26M,527,287
51,20:45M14D30M,66:48M6I21M,760,749
52,1584:36S39M,45:41M5D34M,706,343
53,1097:52M23S,608:44M2I3M2D26M,535,287
54,1097:52M23S,66:48M6I21M,535,749
55,13:46M6D29M,20:45M14D30M,435,760
56,13:46M6D29M,66:48M6I21M,435,749
57,20:45M14D30M,887:45M1I29M,760,173
58,66:48M6I21M,887:45M1I29M,749,173
59,1097:52M23S,45:41M5D34M,535,343
60,1097:52M23S,357:49M4I22M,535,216
61,1097:52M23S,39:29M17D46M,535,291
62,20:45M14D30M,608:44M2I3M2D26M,760,287
63,1584:36S39M,66:48M6I21M,706,749
64,13:46M6D29M,1584:36S39M,435,706
65,13:46M6D29M,608:44M2I3M2D26M,435,287
66,1584:36S39M,887:45M1I29M,706,173
67,1584:36S39M,19:75M,706,232
68,13:46M6D29M,45:41M5D34M,435,343
69,1271:48M10I17M,13:46M6D29M,640,435
70,608:44M2I3M2D26M,66:48M6I21M,287,749
71,187:51M4I20M,66:48M6I21M,203,749
72,20:45M14D30M,45:41M5D34M,760,343
73,45:41M5D34M,66:48M6I21M,343,749
74,1434:45M6I24M,66:48M6I21M,224,749
75,1271:48M10I17M,45:41M5D34M,640,343
76,1461:44M31S,45:41M5D34M,717,343
77,1097:52M23S,683:45M4I26M,535,235
78,1461:44M31S,608:44M2I3M2D26M,717,287
79,32:75M,66:48M6I21M,527,749
80,20:45M14D30M,357:49M4I22M,760,216
81,13:46M6D29M,32:75M,435,527
82,357:49M4I22M,66:48M6I21M,216,749
83,20:45M14D30M,39:29M17D46M,760,291
84,13:46M6D29M,1461:44M31S,435,717
85,1461:44M31S,887:45M1I29M,717,173
86,187:51M4I20M,20:45M14D30M,203,760
87,19:75M,20:45M14D30M,232,760
88,19:75M,32:75M,232,527
89,1271:48M10I17M,19:75M,640,232
90,1271:48M10I17M,683:45M4I26M,640,235
91,1461:44M31S,66:48M6I21M,717,749
92,19:75M,66:48M6I21M,232,749
93,1584:36S39M,357:49M4I22M,706,216
94,1461:44M31S,19:75M,717,232
95,13:46M6D29M,39:29M17D46M,435,291
96,1434:45M6I24M,1584:36S39M,224,706
